category_url,page,position,id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit
https://www.walmart.com/cp/camera-lenses-filters/1231342,1,32,6HEGD6U86B1H,Camera Lenses,Sony FE 24-70mm f/2.8 GM II Lens SEL2470GM2,Tri-State Camera,,,"<div class=""&quot;&quot;""><div><div class=""&quot;js-injected-html"">A refined take on the fast standard zoom, the Sony FE 24-70mm f/2.8 GM II is not only smaller and lighter than the previous generation, it also features a variety of optical, focusing, and handling upgrades, catering to both photo and video applications, that make this the most well-rounded G Master zoom to date.</div></div></div> <br><br><li>Please Note: This is an international model. See warranty terms for further details.</li>",https://i5.walmartimages.com/seo/Sony-FE-24-70mm-f-2-8-GM-II-Lens-SEL2470GM2_39ac3a2b-4393-47ed-872b-b18dc650158c.b6b0fd7044abd722ffbe0e6d91371a73.jpeg,1985,USD
https://www.walmart.com/cp/floor-lamps/2803868,1,17,6WN0X0TQU4C6,Floor Lamps,"Mainstays 58"" Rice Paper Shade Floor Lamp, Black Finish Large",Mainstays,4.5,,"<p>Add soft illumination to your room decor with the Mainstays 58"" Rice Paper Shade Floor Lamp. The black metal stick base contrasts with the cylindrical white textured paper shade for a modern look. The rice paper shade lamp features a decorative pull chain on/off switch and uses one 100-watt incandescent equivalent bulb. It has a black finish that easily matches most decor themes. This Mainstays floor lamp is simple to set up, so you can enjoy fresh lighting in your home right away. It also makes a thoughtful gift for a new homeowner with its functional and stylish design. The compact size makes it simple to place in a variety of spaces.</p>",https://i5.walmartimages.com/seo/Mainstays-58-Rice-Paper-Shade-Floor-Lamp-Black-Finish-Large_5b4a2a98-06bc-477c-9d5c-b8db792b89f2.d378ac70fdc8af5949d24ef6dc7a0915.jpeg,14.88,USD
https://www.walmart.com/cp/gifts-for-gal-pals/5448597,1,16,7KOEX7BZ4A91,Health & Beauty Misc.,"Designer Imposters Primo Cologne Spray, 1.8 fl. oz",Designer Imposters,4.9,,"Enjoy an enticing fragrance with Designer Imposters Primo Cologne Spray. It opens with fruity notes of orange blossom, peach and apricot. The heart of this Primo fragrance body spray consist of various floral scents. The base is warm and woody with sandalwood, patchouli and vanilla. Available in a 1.8 oz bottle, this perfume has a sleek appearance. It features a spray nozzle that allows for easy application. Try wearing this fragrance with casual wear for the day or put it on for a night out. It can make for a thoughtful gift.",https://i5.walmartimages.com/seo/Designer-Imposters-Primo-Cologne-Spray-1-8-fl-oz_02a16355-1dab-4e39-8fa9-10794e8f2cc1_1.9fe1f2a8b33960806bab484c22291196.jpeg,10.98,USD
https://www.walmart.com/cp/fabrics-of-summer/5803803,1,18,1PRVC5Q1QNFW,Blouses & Tops,"Sofia Jeans Women's and Women's Plus Linen Blend Tie Front Top with Cargo Pockets, Sizes XS-5X",Sofia Jeans by Sofia Vergara,,,"It’s time to follow suit, a new utilitarian season has begun and this Linen-Blend Top from Sofia Jeans is leading the way. Features a cute tie front and double cargo pockets at the chest to hold a few more of your favorite things. The linen-blend fabric is easy-breezy on summery days and nights. Pair this tie-front top with our Lila Destructed Shorts (sold separately). Only at Walmart.",https://i5.walmartimages.com/seo/Sofia-Jeans-Women-s-and-Women-s-Plus-Linen-Blend-Tie-Front-Top-with-Cargo-Pockets-Sizes-XS-5X_cb4f5733-4f51-4c3a-b5a2-97de9aeb4ba7.9065b3d9a728080dd6d0eb7920018b0f.jpeg,22,USD
https://www.walmart.com/cp/fabrics-of-summer/5803803,1,19,4UU0UJMG1FH2,Dresses,"Free Assembly Women’s Midi Shirtdress with Puff Sleeves, Sizes XS-XXL",Free Assembly,4.1,,"What started as a simple staple has emerged as a style legend—keeping it classic with Free Assembly’s Shirtdress. Designed with menswear-inspired details and updated with trendy short puff sleeves, a waist-cinching sash belt and breezy skirt bottom. Day or night, work or play, this fashionable workhorse is always the perfect choice. Only at Walmart.",https://i5.walmartimages.com/seo/Free-Assembly-Women-s-Midi-Shirtdress-with-Puff-Sleeves-Sizes-XS-XXL_7aa43325-f0d0-42ff-b9bd-289ff2de109b.6e61830cd520f333f57313aa30977ef2.jpeg,34,USD
https://www.walmart.com/cp/drivetrain-accessories/9907765,1,27,1OU3GMK9QJ3L,Automotive Specialty Parts,Moser Engineering 7105 Differential Cover,Moser Engineering,4.8,,Differential Cover - Performance - Gasket / Hardware Included - Aluminum - Natural - 7.5 in - GM 10-Bolt - Each,https://i5.walmartimages.com/seo/Moser-Engineering-7105-Differential-Cover_8ad7018e-a138-4e3d-a549-91ba40db97ea.1954878dadd9199b5fc67aa4dbf383ec.jpeg,216,USD
https://www.walmart.com/cp/drivetrain-accessories/9907765,1,26,3Q4EQRTC042A,Automotive Specialty Parts,"B&M 70503 Cast Aluminum Differential Cover for GM 8.2"" 10 Bolt B.O.P.",B&M,5,,"Compatible with GM 8.2 in. 10-bolt (Buick Olds, Pontiac) Differential cover;<br><br>Our engineers designed the line of Hi-Tek differential covers to not only look good but address a number of weaknesses of the factory stamped steel covers. First, they started by constructing the covers of thick A356.0-T6 aluminum, which dissipates heat much faster than the factory steel unit keeping the fluid temperature lower under high-stress loads vs. a steel cover. Then for added durability, we added a reinforced center bar for extra strength along with load bolts to help prevent bearing cap deflection under severe loads. The internal shape of the cover retains the smooth round back internally to help keep the fluid flow going over the ring gear to properly lubricate the gears and bearings. Additional features include a magnetic drain plug for catching ferrous metal particles, machined B&amp;M logo and all necessary hardware and easy to follow detailed instructions for a quick and simple installation you can do at home. Note: Gasket not Included;",https://i5.walmartimages.com/seo/B-M-70503-Cast-Aluminum-Differential-Cover-for-GM-8-2-10-Bolt-B-O-P_3fbc10f4-e3d9-491a-bb5a-61fd82826a67.51c2149a68eac4fc914da66c98c52417.jpeg,210.56,USD
https://www.walmart.com/cp/exceed/6720481,1,41,3IWY5GQXLPW6,Wristwatches,[Citizen] Watches Exceed eco Drive EX2002-03A Brown// Ladies,Exceed,,,"Target: Ladies;Set contents: Main unit, box, instruction manual, book included;Reinforced waterproof for daily life: 5BAR;Country of origin: Japan

Please note that some of the models are made exclusively for Japanese market, hence the specifications and interface language is all in Japanese and cannot be changed to a different language.
Also the voltage is adopted for Japanese standard ~ 100V


## About us
want.ip Inc (a group company of Yahoo Japan), the leading cross-border e-retailer of all kinds of Japan products. 
We source all the products from official distributors or manufactures]


## Overseas Shipping Information
As this is an overseas delivery product, it may take up to 2~5 business days to ship out.
However, there may be a slight delay depending on the local delivery status and customs procedures.


## import tax
Prices shown include customs duty.
There is no need for customers to separately pay customs duties to the delivery company.


## Item Stock
The stock quantity of the purchased product may change from time to time and may be out of stock after ordering.
If there is no stock, it may be canceled after notification.


## Warranty
Since this product is manufactured for Japanese market, warranty is not supported in your country.
## Voltage
For electronic equipment, it is recommended to use a transformer just in case. This is because electronic equipment for Japan is designed to be used at 100V. (Some products are globally compatible.)


## want.jp Return Policies
All returns must include the following or it will be rejected and returned back to you at your cost:
- Product purchased from want.jp
- Original Condition, no physical damage
- All accessories, manuals, warranty registration card, etc.
- All return requests can be submitted with valid return reason selected within 30 days after the item ordered.",https://i5.walmartimages.com/seo/Citizen-Watches-Exceed-eco-Drive-EX2002-03A-Brown-Ladies_4372ea6c-8e61-4b40-97e3-d4093513adf5.f70a8f47c5461e82c787b62507daff9b.jpeg,457.03,USD
https://www.walmart.com/cp/fromm/4521461,1,24,5XK2G8QXCP6W,Dog Food,Fromm 40510433 12 lbs Heartland Gold Grain Free Large Breed Puppy Dog Food,Fromm,,,"<p>Well-suited for puppies of breeds with adult weights of over 50 pounds, this grain-free recipe is naturally formulated with beef, pork, and lamboffering the gold standard for puppies who crave red meat. The addition of probiotics aid with digestion, and salmon oil promotes a healthy coat. </p><b>Features</b><ul><li>12 lbs Heartland Gold Grain Free Large Breed Puppy Dog Food</li><li>Quality selection for everyday pet needs</li><li>Assured hygiene and care for pets</li></ul><b>Specifications</b><ul><li><b>Capacity:</b> 12 lbs</li></ul>- SKU: PTFDE13466",https://i5.walmartimages.com/seo/Fromm-40510433-12-lbs-Heartland-Gold-Grain-Free-Large-Breed-Puppy-Dog-Food_4ccee03c-ea0c-4b8a-b790-e37838aa1599.47bfb599f6a55f2d01863e282873d9f1.jpeg,59.99,USD
https://www.walmart.com/cp/character-party-supplies/8253261,1,1,33RRBUBHJ2ZP,Pinatas,"Dump Truck Pinata - Kids Construction Birthday Party Supplies, Construction Party Decorations (Small, 15.5x9x6 In)",Blue Panda,5,,"<h4>Item Description</h4><p>Bring the excitement of a construction site to your child's birthday celebration with this small pinata, a great way to check ""construction pinata"" off your construction birthday party supplies list. This construction-themed party essential is designed to ignite the imaginations of little builders and add a touch of adventure to any construction themed birthday party. Our dump truck pinata features a vibrant yellow body that captures the essence of a real top-loading dump truck. The striking orange bin on top adds a delightful pop of color, creating a visually appealing centerpiece for your celebration. This pinata's design is further enhanced by the inclusion of realistic details such as white windows, black tires, and yellow wheels, bringing the construction theme to life. This pinata offers a serious amount of fun for kids; simply fill it with an assortment of candies, toys, or small surprises, and watch as the children eagerly await their turn to reveal what's inside. This pinata measures 15.5x9x6 and is designed with an easy-to-use hanging loop, allowing you to effortlessly suspend it from a sturdy support. When the time comes, simply let the little builders take turns at striking the pinata with a safe, soft bat until it bursts open, revealing the hidden debris for all to clean up on the job site.</p>",https://i5.walmartimages.com/seo/Dump-Truck-Pinata-Kids-Construction-Birthday-Party-Supplies-Construction-Party-Decorations-Small-15-5x9x6-In_157e703c-321f-49fe-bad2-96a36798d585.5f80fe648d53682e99cd5a49cfb4ed5a.jpeg,19.29,USD
